,message
254688,W E E K E N D S Y S T E M S A V A I L A B I L I T Y F O R April 27 2001 500pm through April 30 2001 1200am SCHEDULED SYSTEM OUTAGES ARDMORE DATA CENTER AZURIX No Scheduled Outages EB34 DATA CENTER EDI SERVER No Scheduled Outages ENRON CENTER SOUTH DATA CENTER ENRON NORTH AMERICAN LANS No Scheduled Outages FIELD SERVICES No Scheduled Outages INTERNET No Scheduled Outages MESSAGING No Scheduled Outages MARKET DATA No Scheduled Outages NT No Scheduled Outages OS2 No Scheduled Outages OTHER SYSTEMS ALSO SEE ORIGINAL REPORT Impact CORP Time Fri 4272001 at 60000 PM CT thru Fri 4272001 at 80000 PM CT Fri 4272001 at 40000 PM PT thru Fri 4272001 at 60000 PM PT Sat 4282001 at 120000 AM London thru Sat 4282001 at 20000 AM London Outage ClearCase Patch Environments Impacted Corp Purpose This patch will resolve several issues involving the MVFS ClearCase file system Backout Remove the patch Contacts Troy Beyer 7133458316 7134061782 SITARA No Scheduled Outages SUNOSS SYSTEM No Scheduled Outages TELEPHONY Impact Time Sat 4282001 at 90000 AM CT thru Sat 4282001 at 110000 AM CT Sat 4282001 at 70000 AM PT thru Sat 4282001 at 90000 AM PT Sat 4282001 at 30000 PM London thru Sat 4282001 at 50000 PM London Outage ISDN Calling Name and Number Environments Impacted All Purpose To allow for number and name to appear on telephone displays If testing is successful permanent changes will be put into effect at a later date These will not be service affecting Backout Unbusy trunk group Contacts Cynthia Siniard 713 Harold Williams 713 TERMINAL SERVER No Scheduled Outages UNIFY SEE ORIGINAL REPORT FOR ASSISTANCE 713 853 Specific Help Information Risk Management 713 853SAPISC 713 345Unify OnSitara OnRUSGOPSGeoToolsAPRS 713 639OSSUA4TARP 713 285CPR 713 284EDI Support 713 327EES Help Desk 7138539797 OR 8888539797
135885,Doug This is the one that I asked you about LBC Here is a message that came in from ERCOT Due to the size of the message it seems to have choked the database I will fix that problem but in the meantime here is the text of the message in case it is important information for you guys The completion of the Limestone Good Weather Trading HouseJewetLimestone All Bad Weather  North Trading HouseJewetLimestone Direct comments or questions about this posting to Lee Caylor at 512 D Eric Smith Enron Corp Sr Spec Tel 713Pg 713Email  
405780,The system received an inbound message for your address However the subject line of this message matches a keyword associated with a known type of virus The message has been placed in Quarantine The system administrator will review the message to determine if there is any risk before allowing delivery If the system administrator deletes the message you will receive notification however the sender will not Note that messages with certain arrangements of keywords that include joke or funny in the subject heading are often flagged for this action This is due to a number of known computer viruses with these subject headings Please contact the help desk should you have any questions ContentReceived from 12520231 by sfwsmorrickcom with ESMTP WorldSecure Server SMTP RelayWSS v45 Tue 12 Dec 2000 091244 XImportance High X                                                                                                          askaffenergy      Carroll Dan                  rfosscoral                                                 MessageXSeptember 22 2000 at 12122000 111248 AM ContentType textplain
43348,TOP 10 WAYS TO BE THE FUNNIEST GUY IN YOUR OFFICE 10 Keep telling the same person they have bad breath even if they dont and then punch them in the face 9 Announce in a meeting that you have AIDS After everyone gives you the sympathy remarks tell everyone you were kidding and call them a bunch of queers 8 Before a meeting fill your mouth with custard In the meeting pretend youre hocking up a loogie spit it into a glass and hand it to the person next to you and say BEAT THAT 7 Inform a male co hooker then piss in his coffee and tell him he needs a good ass fucking 6 Always walk around with a big smile and keep one hand down the front of your pants 5 Answer every question with  Fucked if I know then call the person a racial slur that doesnt even match their race 4 Brag about the fact that you carry a gun and keep playing with your nuts Get them really sweaty and go around shaking everyones hand 3 Run down the hall with your dick out spraying piss everywhere yelling It wont stop God help me it wont stop Then when it does look down and say Oh I must have broke it 2 Ask to borrow a co to the bathroom and stick it up your ass the person and tell them that it smells bad and tell them to smell ithad it up my ass 1 Shit on your office floor and when someone comes in and sees it tell them its the fake rubber kind When they try to pick it up and realize that their hand is full of real shit and embarrass him in front of everyone 
234734,Please see attached Rob perhaps while in London you could stop by Marks desk to discuss Mark SchroederECT 03072001 0345 AM Steve confirmation of the issues which I have articulated concern possible paymensts made to receive informal and favourable guidance on customs issues which informal opinions are now seemingly being reversed formally In some cases such payments may still be legal But subject to Jane confirming that I am explaining this correctly given that the communication below is a bit cryptic it now seems to me to be timely as Rebecca and Jim have apparently been alerted in London on Monday per her note below to satisfy yourself that we are now clean on this issue under the Foreign Corrupt Practices Act The informal customs advice was obtained by Muktesh Tyagi spelling one of two people known as Sanjays fixers that should make you fell comfortable You may wish to discuss with Jane further but once you satisfy yourself that there is some smoke here my thought was that you might want to simply confirm with Rebecca that we are running the facts to ground so that we can satisfy ourselves that we are either clean or need to come clean with USG let me know if you need more thanks mcs 0942 Jane WilsonENRON_DEVELOPMENT 07032001 0438 Mark I have confirmation of the issues on which I have articulated concern to you although such confirmation is verbal Apparently there are more areas that I will identify in due time This information was conveyed to the Legal Team which included Rebecca Bruce Sandeep Katwala and outside attorneys in London on Monday In addition below is additional bad news In addition there is at issue now the fact that the flow diagrams and import lists do not match Ill forward an additional email from Seethayya 03072001 1004 AM Heidi Hellmann 03062001 0139 AM BhaskarENRON_DEVELOPMENTENRON_DEVELOPMENT I found out more info on some of these extraneous customs issues above and beyond the LNG stuff PHASE I ISSUES 1 SPM This equipment has already been imported at 2238 but customs is claiming merit duty rates of 67 This is currently being evaluated by the courts Total Value at Risk 2 D Are Bechtels design charges of 66 MM specific to our equipment or to the project as a whole If the former then duty of 2238 should apply Total Value at Risk PHASE II ISSUES 1 Services Loading on Power Plant Equipment Same issue as for LNG Equipment Currently we are paying a 10 loading on duty into a reserve deposit to cover this Total Value at Risk 2 LNG Equipment to be dutied at 538 or 2238 Think we all know this issue Total Value at Risk 3 Services Loading on LNG Equipment Think we all know this issue Total Value at Risk TOTAL VALUE at RISK 180 MM Note There is still this issue of goods being imported under the wrong classification Currently this is preventing goods from being imported on time which could lead to delay claims by the contractors It will take me some time to hunt down what this could cost us if the problem isnt resolved soon Pavans estimate is that it will take a month for Site to generate accurate equipment lists and for the same to be reviewed and approved by MSEB Heidi 
153913, Enron Principal Investments EPI which was formed in the 2nd quarter has completed its integration and the development of its new strategy This group will be responsible for identifying closing managing and exiting all non EPI will pursue investments related to Enrons core businesses where Enron has a unique insight into the market company or technology Initially this will be geographically focused in North America and Europe This group will rely heavily on the support and cooperation of the core business units to provide information and market insight EPI may make investments in the form of venture capital leverage buyouts growth equity or private equity in public companies The group will not make investments in seed stage companies other funds subsidiaries of larger corporations or project equity Please join me in supporting the efforts of Enron Principal Investments 
355008,Please prepare a Parent Guarantee for the following CPs Parent Georgia Subsidiary Harmon Associates Corp Maribel M Monterrey Office 713 853Fax 713 
191278,Leslie Please review i2s comments on their standard NDA as revised by us I will be out of the office for the rest of the week so please call me on my cell phone at 832 Thanks Gillian 1249 PM  on 11302000 064453 PM Gillian I have reviewed Enroncredits requested changes to the NDA Most are fine In response to some I have added or changed some language The only real significant issue that I could see was the length of the protection period The absolute minimum i2 will agree to is 3 years Please review my changes in the attached document I would be happy to discuss any of these and can be reached at the numbers below Thanks for your help and your consideration K See attached file EnronCreditcom 113000kakdoc Kay A Klafehn i2 Legal W 4693577157 M 2146796531 F 4693576566 
143839, Daily Riddle  Todays Riddle is Using the numbers 1make 3 rows of 3 so that the sum total of all 3 digits in any direction is 15 As always you will find the answer below todays sponsor Please take a moment and visit todays sponsor  HAVE A WEBSITE Free trial Try LinkDoctor today The Ultimate link checker for Websites Reports Broken Links Search Engine Ranking Popularity and broken links in Search Engines Be sure to tell your associates about this free trial  The answer to todays Riddle is 8 3 4 1 5 9 6 7 2 You are currently subscribed to riddles as  To unsubscribe send a blank email to 
499762,Please call if you have any questions Thanks Joannie 3 
87882,08172000 0817 AM Michael Gagliardi mggagliardiduke  GagliardiHou  on 08162000 080230 PM True Orange FaxEVolume 8 FaxEJerry Scarbroughs True Orange P O Box 26530 Austin Texas 78755 Phone 512 Tyrone Richardson Only Horn Missing After Reporting Date The Texas veterans 58 scholarship players strong checked in on time Wednesday with freshman RB Tyrone Richardson the only absentee Richardson who enrolled in January and went through spring practice said I have some academic issues I need to take care of to return to the team He said he hopes to be back in January Coach Mack Brown said he is excited about the heralded freshman class and about the returning players I am really looking forward to meshing the two groups together he said This is a very exciting time for everyone involved with Texas football Brown said the Longhorns dont deserve their No 7 national ranking heading into the season but he said the team has a chance to improve enough to deserve the high ranking later this year He has cited the loss of all the starters at wide receiver and defensive end as two of the main reasons he thinks the team doesnt deserve a topranking right now That talented freshmen class includes the best three wide receivers Ive seen in Texas Roy Willliams B J Johnson and Sloan Thomas in the 10 years Ive been doing this plus another outstanding prospect who is a former quarterback Tony Jeffery It also includes Adam Doiron and Kalen Thornton two big quick defensive ends who have a lot of potential Brown said it is rare for true freshmen to be play a major role on a good team before midout to watch the freshman receivers Tuesday afternoon said they dont think it will take Williams Johnson Thomas and Jeffery that long Starting free safety Greg Brown said They are really good players They are big and they have great speed I think they have a chance to help us a lot Starting cornerback Rod Babers never one to shy away from a challenge said he plans to welcome the rookies by showing them a bigof scrimmage but he too said he was impressed They are really fast and they all catch the ball pretty good he said They have good height too Until the youngsters start knocking heads with the varsity nothing is certain but the early betting would be on at least two of the young wide receivers to play major roles on the 2000 Longhorn team Some of you have asked me to break down the current list of commitments and the prospects for adding more commitments on a positionIts a little to early to do any guessing about future commitments at wide receiver and defensive back because the coaches probably will wait to see a few high school games before deciding which WRs and DBs to go after But heres the way it looks to me at the other spots national top 100 players are underlined QB Shreveport Evangel the highest rated QBs in their respective states are the two main prospects UT should get one of them RB Jefferson are the two most likely future Longhorns but Jabari Davis of Tucker Ga and Eric Shelton of Lexington Ky are two superstars who say they plan to visit UT James Buchanon of Sarasota Fla is the only fullback UT is recruiting TE tight end on the UT horizon OL Carter Abe Robinson of Jersey Village Matt Garcia of Galena Park Will Allen of Cypress Falls Roman Reeves of Livingston Terrance Young of Longview and Alfio Randall of Blinn JC The Longhorns will sign one or two more if they can get Jamie Hightower of Jacksonville William Winston of Houston Madison or Ben Wilkerson of Hemphill DE and at least three of them probably will be ends The ones UT has the best shots at are Eric Hall of Clarksville Tenn Kaelen Jakes of Valencia Cal and Kevin Everett of Port Arthur Jefferson Shaun Cody of Los Altos HS in Hacienda Heights Cal who had an incredible 33 sacks last year also says he will visit Texas DT of Blinn JC are the main hopes LB backer UT will take Derrick Johnson of Waco Jonathan Jackson of Galena Park North Shore and Lance McFarland of Jefferson are other possibilities Jackson and McFarland also have big frames and could wind up at defensive end My next fax will be whenever events warrant but no later than Friday August 18 The True Orange Fax Service includes at least 99 faxes a year and costs 99 79 by Eand is published weekly during football season and twice monthly during most of the other months It costs 45 Save by subscribing to both for 130 or 110 if you take the faxes via Enewsletter via E900 number address is  
397049, The Museum of Fine Arts Houston 
29227,Tina Attached is the Global Risk Management Operations Update for the Philippe and Greg Weekly Report for the week ending May 30 If you have any questions please let me know Thanks Jennifer Reimer x57970 
472699,Im afraid I disagree with Justin but prefer not to do so publicly It seems to me we need a verifiable end time for the Auction Period and should choose a time and a time zone that makes sense for the traders and counterparties presumably UK for EnBank but Central for emissions credits PM Justin Boyd 02152000 1154 AM MarkDave Many thanks for tha attachment which I agree with As for the point about time I would specify something like prevailing local time Regards Justin Here are my comments together with my voice mail comment to Dave regarding an earlier deletion Justin Boyd 02152000 0326 AM here are my minor comments as marked I would regard a bid in the context of an auction as a legal offer justin David Forster 14022000 2134 Mark I have suggested a few changes on the attached redlined version Please let me know if you think these are appropriate Thanks Dave Unless you object we have decided to structure the auction site with the auction procedures set out on the bid page immediately above the submit button As soon as the bid is submitted the system will check to see if the counterparty has already accepted the GTCs or has a master in place Here is SCs first draft of the procedures for an auction without a reserve price with no commitment to sell or buy and no disclosure of bids to other parties It is my impression that this is the way the EnBank auctions will be conducted Is that correct Any suggestionscomments Mark AM  on 02142000 082025 AM Attached is a draft of the Auction Procedures we discussed Because I dont know how the auction page will be configured it is likely that conforming changes will be necessary Also I have left the references to Enron in brackets I am not sure if a specific entity will be referenced or if all entities will be defined collectively as Enron Please call or eany questions or comments Best regards This ethat may be privileged and confidential If you are not the intended recipient please delete the eimmediately 
392774, Fergus Gary S 01182001 1156 AM Esq E Molland Michael E  Wooster Kelly  Hisert George A  Meringolo Peter  Conner Randall  Here is the conference call information Call in number is  1 800 261ID code is 912480 Thanks Gary This email message is for the sole use of the intended recipients and may contain confidential and privileged information Any unauthorized review use disclosure or distribution is prohibited If you are not the intended recipient please contact the sender by reply email and destroy all copies of the original message To reply to our email administrator directly send an email to  BROBECK PHLEGER  HARRISON LLP  
289233, FYI Please review the attached 
416390, Mary Cook 09222000 1118 AM McCulloughHOUECTECT Lisa MellencampHOUECTECT Attached are the swap forms we have utilized in round one of the raptor off balance sheet swap project I have tried to clean them and have also incorporated comments received thus far from Kirkland  Ellis firm for Talon Please review these forms and provide any further comments or suggestions to them by Tuesday morning of next week As I mentioned we plan to forward to you proposal sheets as and when received for all the remaining swaps to be placed into the raptor vehicles for preparation of the swaps by your firm We should know more about the timing of the next round of swaps next week As other and varied investments may be placed in the vehicles we will ask that your firm develop the forms to be used on the basis of the proposals and any documents applicable to the underlying investment Finally please finalize the memorandum on termination and forward to my attention next week if possible Thank you for your continued assistance Please confirm receipt and ability to have comments to me by Tuesday Mary Enron North America Corp Mary Cook 1400 Smith 38th Floor Legal Houston Texas 77002713 345713 
474126,Attached is the story with my comments 1 I changed standard to familiar and deleted the reference to price discovery since these are elements of futures contracts comparison to which we would like to avoid If the price reference is important transparency would work as a replacement for discovery 2 The changes to the last paragraph are to avoid the suggestion that the PA and Reg forms can be filled out online they are available to be downloaded but must be signed and sent to us offline Suryan Wirya Simunovic 07072000 0907 AM GosaliaLONECTECT MooneyLONECTECT Gentlemen We have the following Newsticker story we want to launch on EnronOnline ASAP Could you confirm if the wording is appropriate from the PR and legal points of view Would appreciate your soonest to reply to myself or Amita so that we can proceed Thank you Suryan 07072000 1439 Peter Bradley 07072000 1434 StaleyLONECTECT I we going to get this one out today or tomorrow would really prefer today if possible peter 
196686, Bradley Diebner 11152000 0119 PM SchottHOUECTECT Mark TaylorHOUECTECT Brant RevesHOUECTECT Debbie R BrackettHOUECTECT David HardyLONECTECT Lesli CampbellHOUECTECT Cynthia ClarkCorpEnronENRON Mary G GosnellHOUECTECT Enron Europe Global Contracts and Facilities Enron Europe Global CounterParty Stephanie SeverHOUECTECT Bradley DiebnerHOUECTECT Stacey RichardsonHOUECTECT Tom MoranHOUECTECT Adnan PatelCorpEnronENRON Claudia ClarkHOUECTECT William S BradfordHOUECTECT Lisa LeesHOUECTECT Juana FayettCorpEnronEnron Jana MorseCorpEnronEnron Trang LeHOUECTECT Paul MaleyLONECTECT Sonya ClarkeLONECTECT Lee MundenLONECTECT Tim DaviesLONECTECT Karen ODayNAEnronEnron Regards bd 
44183, At the all Your management team and I remain committed to this goal and are confident that by working together we can achieve this vision After the all I assure you that your individual answers to this survey will remain confidential The new Management Committee will use this information to help us identify immediate action steps to address your key concerns We will communicate the results to you both positive and negative and what we plan to do about them as soon as we can Thank you in advance for taking the time to help us move Enron toward its new vision of becoming The Worlds Leading Company We need your answers no later than Tuesday September 4 2001 To access the survey click on or copy the following URL onto the Enron intranet site  If this link does not work go to homeenroncom under New  Notable and click on Lay It On the Line If you have problems with the survey contact the HRGIM Help Desk at 7138535666
471063,I ran across a bunch of EOL deals that have not represented the April Time zones right They marked through April 6th as PST Daylight savings time is on April 1 I dont see any new deals so I am hoping that it was something in the programming that was corrected Steve we will let you know if we see any new ones but the latest one looks like it was done a while ago All of these deals are fixed 347721 353734 353813 352524 361210 352809 346646 346647 352628 360473 360475 360477 360483 361244 366541 366543 346822 348162 Cara Semperger 03232001 0139 PM I just ran a forward ob for April 2 to check for deals that are in PST when they should be PDT Do you want to change all of these to PPT deals or do you have time constraints today I need these changed today because we are already setting up for April SW Regions 347721 353734 353813 407053 352524 361210 352809 346646 346647 352628 360473 360475 360477 360483 361244 366541 366543 346822 348162 NW Regions 318870 349864 I am particularly worried about how these are corrected because they are long term transmission deals that cannot be autoscheduled 503107 503112 
297482,um yes and no ok do you really want to know i meant you were lying about me saying things and we arent going thats not a good idea  you are a brat nope we are going youre lying
468273,This is a reminder to join Ken Lay and Jeff Skilling at an AllMeeting at 10 am Houston time this Wednesday Feb 21 The meeting will be held in Houstons Hyatt Regency Imperial Ballroom Ken and Jeff will review Enrons yearoutlook for this year and beyond The meeting will be streamed live on IPPortland ENA New York Calgary London Stockholm Frankfurt Hamburg Amsterdam Madrid Toronto Dublin Ohio and San Ramon and Costa Mesa in Calif In addition we will broadcast the meeting via video teleconference to employees in Portland EBS Chicago Tehachapi Calif Bogota Sao Paulo Buenos Aires San Juan Warsaw Chester UK and Teesside NEPCO To view the meeting on the IP Direct your Internet browser to  Note You will not be able to view the meeting on this site until 945 am Houston time on Feb 21 Click the link for Special Events Click the link for the All If you would like to ask a question via IPso by clicking the hand icon at the bottom of the video frame Enter your question in the box that appears and click to send it Ken and Jeff will receive these questions during the meeting and address as many as time permits during the QA session Employees based in Europe Japan and Australia You will receive an ewith more details on how to access the meeting andor receive a videotape of the meeting if you are located in a remote office with limited access to IP All other employees If you dont have access to IPunable to attend or view the meeting you can order a video by contacting Courtney Votaw by e 
467056,kate Please approve and autoschedule deal  481890 Les
39334,There will be a California Litigation Team conference call on Thursday September 20 from 200 to 300 pm Central time The call in information is Domestic Dial In Number 1 International Dial In Number 1 Passcode 56871 Host Mark Haedicke Janette Elbertson Enron Wholesale Services Legal Department Telephone 713 853Fax 713 646email 
34188, Thanks all In a discussion with Steve Kirk prior to changing the priorities it was agreed that SBA shippers should have priority over Interruptible and Alternate shippers only Firm shippers would continue to have priority over SBA shippers Since Gerrys group implemented the changes we have not been in a situation where a SBA was called to come in or go out at an allocated point Gerrys system requirements as to how the system would operate under these conditions would be the support you need to verify that Firm shippers have priority over SBAs Gerry would you forward Michelle a copy of the System Requirement Thanks Reyna Cabrera X33072 Michele Im not sure the information is readily available if available at all TMS data is only maintained without extraordinary measures for 6 months It is my recollection that there may have been an allocation at a point where SBA gas was scheduled and when that occurred the standard allocation procedures were enforced I think once we asked the shipper to move the SBA activity to another point but that was pre GISB Unfortunately because of the how the SBAs work the pack draft and peak points are negotiated in advance which limits the points to use Also the 28 Reyna may have some additional insight in more recent SBA activities I am not sure I understand the question Do you mean at anytime we call on SBA volumes we nevershould not allocate the location I guess the question is Yes you are correct The changes in the business requirements for the scheduling priority of SBA contracts will not impact NNGs primary firm shippers What do you need to verify and support this fact Contract Shippers Contract Date 107018 Tenaska Marketing Ventures Nov 1 2000 107019 Texaco Gas Marketing Nov 1 2000 107021 OGE Energy Resources Nov 1 2000 107989 Tenaska Marketing Jun 1 2001 108021 Arkla Energy Marketing Co Jul 1 2001 108284 Tensaka Marketing Ventures Nov 1 2001 108290 Texaco Gas Marketing Nov 1 2001 108281 El Paso Merchant Energy Nov 1 2001 108282 UtiliCorp United Inc Nov 1 2001 108283 Engage Energy American Nov 1 2001 These are the SBA contracts that were provided during the due diligence Id like to be able to verify and support that the changes in the business requirements for the scheduling priority for these SBA contracts do not result in an impact to NNGs primary firm shippers Your assistance would be greatly appreciated Thanks MW 
60925,No Burrito Next Week WPTF General Meeting at Ojai gba  SilenceoftheMiddlepdf
434050,Thanks for the clarification Get it listed if you like Jeff Jim Goughary 10232000 0432 PM Regarding MTBE we all are aware it will likely phase out over the next 23 years BUT we are a producer of 15000 bpd from our company owned gulf coast plant We also have several years left on our MTBE marketing agreement with Dubai Natural Gas Company As a producer we are in an Ideal position to make markets in gulf coast MTBE While the production facility was not a good business for Enron and has been mostly written off MTBE Trading has been and continues to be a good business I would assume that the plant is also now making profits with the capital expense written off 
470004,Their web address is  if you want to know more about it I also can show you the book we used in the discussion group
73468,The JoskowKahn paper raises two issues price above cost and witholding Enron obviously has concerns with the price above cost analysis I drafted some specific concerns and put them into a draft to Enrons reponse to Hoeker Question 1 Although the detail was dropped in the final draft the basic technical concerns were laid out there To really rebut JoskowKahn would take considerable work Jeff Ds idea was to write a paper that raised issues and indicated how complicated a correct response would be The JoskowKahn withholding section has recieved criticism from the ISO so I am not sure Enron needs to respond to that I think my bottom line now is that the debate at FERC will soon be over or enter a new stage on the 13th As far as how a response would help us in California I think requires a discussion with Jeff Alan MaraNAEnronENRON Mary HainHOUECTECT Alan Before we bring in Seabron Adamson to do some analysis Id like your read of the Joskow and Hogan papers When we have our understanding straight lets talk Jim Jeff Dasovich Sent by Jeff Dasovich 11302000 1149 AM SteffesNAEnronEnron Sandra McCubbinNAEnronEnron Paul KaufmanPDXECTECT Joe HartsoeCorpEnronENRON Sarah NovoselCorpEnronENRON Mary HainHOUECTECT Karen DenneCorpEnronENRON  Susan J MaraNAEnronENRON Alan ComnesPDXECTECT FYI In bizarre times help can sometimes come from bizarre places Granted were likely to disagree strongly with Hogans continued obsession with Poolco but the discussion in his paper regarding market power may be helpfulthe Hogan piece Steve and I discussed the need to do a focused assessment of the JoskowKahn analysis remember its Ed Kahn not Alfred Kahn Seems that it would be very useful to fold into that analysis any useful stuff on market power included in the paper done by Hogan  Co If in the end there aint nothing useful so be it But seems like theres little downside to exploring it Jim my understanding is that Alan is already working with the fundamentals folks on the Portland desk to deconstruct the Joskow paper Might want to include the Hogan paper in those discussions and might also be useful to pull Seabron Adamson into the thinking too Ultimately may be preferable to have any assessment of Joskow andor Hogan to come from economists rather than directly from us Best Jeff Daniel Douglass 11302000 1129 AM             Has FERC Gone Far Enough in California The Federal Energy Regulatory Commission isnt going far enough in its attempt to reform the California wholesale electric market according to a paper by three prominent economists done for San Diego Gas and Electric The paper by John D Chandley Scott M Harvey and William W Hogan argues that FERC should first end the artificial separation that divides the California Power Exchange and the California Independent System Operator rather than worrying about the governance of the two institutions The change in governance may help says the paper Reform in California term Explicit guidance from the commission regarding the nature and trajectory of reforms will be essential if market reform is to be accomplished within an acceptable time frame Hogan of the Kennedy School of Government has been writing since 1995 in opposition to Californias market separation Also argues the paper freeing the California utilities to engage in forward contracting is no panacea The expectation that merely allowing utilities to participate in forward contracting necessarily would be the solution to high prices is problematic and not supported by the commissions staff report says the analysis adding that putting pressure on buyers to sign contracts in the present environment may make things worse If the underlying problem in California is high cost and low capacity requiring forward contracting could harm not only California but also the entire Western US electric system FERCs 150 soscratching their heads It does not appear in the staff report and there is little critical analysis of their implications other than the discussion of Commissioner Curt Hebert If the intent of the soft cap is to move toward cost justification for bids above 150MWh then FERC is headed into an administrative morass that would rival those under wellhead price controls in the natural gas industry If on the other hand the soft cap is truly soft and would only require some paper work at FERC and the possibility of a refund if the price is eventually deemed not just and reasonable there might be little impact on consumer prices particularly if the principal sources of those high prices are high costs and regional capacity shortages rather than the exercise of market power Even so the proposal might serve to deter entry and new investments thus combining the worst of both worlds high consumer prices and little or no new investment FERCs proposed order in California also demonstrates confusion about just what constitutes market power The paper cites the proposed orders lawyerly obfuscatory conclusion that while this record does not support findings of specific exercises of market power and while we are not able to reach definite conclusions about the actions of individual sellers there is clear evidence that in California market structure and rules provide the opportunity for sellers to exercise market power when supply is tight and can result in unjust and unreasonable rates under the Federal Power Act The economists note In this regard the debate is confused because we are dancing around the words where the truth may be hard to face In the case of California say the economists there is no evidence of market power Even the practice of generators avoiding the dayof the realincentives including price caps but does not demonstrate the exercise of market power Nor is bidding above marginal cost necessarily an exercise of market power they add The distinction between direct marginal cost and opportunity cost is sometimes lost in the discussion Hence a competitive bidder whose direct cost of generation is 40 but who could sell the same energy outside California for 100 should bid no less than 100 This would not be an exercise of market power 
370364,fyi Judy Versen Victoria FYI Chris November 26 2001 As indicated by the Critical System Warning issued November 25 2001 based on anticipated system operations and weather conditions as stated below TEXAS EASTERN TRANSMISSION LP Texas Eastern is requiring that all customers take immediate and prompt steps to eliminate excess receipts and conform scheduled receipts to actual deliveries This systemsystem significantly exceeding actual deliveries This Critical System Warning shall remain in place until further notice Weather in the market area continues to be unseasonably mild and shippers have been filling contract storage inventories in anticipation of the coming winter heating season At this time Texas Easterns storage capacity is approximately 98 full As a result there is virtually no storage capacity or linepack available for system operational purposes and Texas Eastern cannot continue to absorb actual imbalances left on the system Because of the critical nature of this situation and the fact that Texas Eastern no longer has the ability to further absorb imbalances being left on the system Texas Eastern requests that all customers coordinate with their suppliers the actual quantities received into the system to match actual customer takes in the market area No due pipe gas will be accepted into the system until further notice If immediate action does not result in reducing the current volume of gas being left on the system Texas Eastern may be forced to issue an operational flow order OFO requiring actual receipts of gas to match actual deliveries out of the system which will be subject to the OFO nonprovided for in Texas Easterns FERC Gas Tariff Texas Eastern will take any other actions as may be necessary to protect the integrity of its system including but not limited to suspension of OBAs NOTE Duke Energy Gas Transmission respects your online time and privacy You have received this email because you elected to subscribe To unsubscribe login to the E the appropriate checkbox and click the Submit button
185741,Thanks Kay Kay Young 11022000 0316 PM Kay C Young Legal Specialist Enron North America Corp  Tana Jones 11022000 0158 PM I have a bunch of NDAs coming thru so I thought Id send you an email 1 Leslie drafted an NDA yesteeday with Proxicom Inc she ran it by you EEL has an agreement with Proxicom UK Ltd re Potential provision by Proxicom of consultancy Services that last until March 2003 protecting both parties It idoes not contain restrictive provisions  2 Ariba Inc Nothing with or pertaining to Ariba Inc to the best of my knowledge 3 Commerce One Inc Nothing with or pertaining to Commerce One Inc to the best of my knwoeldge 4 Exodus Communications Inc Nothing with or pertaining to Exodus Communications Inc to the best of my knwowledge 5 Financial Settlement Matrix Nothing with or pertaining to Financial Settlement Matrix to t he best of my knowledge 6 Interliant Inc Nothing with or pertaining to Interliant Inc 7 Inwarehousecom Nothing with or pertaining to Inwarehouse to the best of my knowledge 8 Oracle Corporation Nohing with or pertaining to Oracle to the best of my knowldge 11 Sabre Corporation Nothing with or pertaining to Sabre to the best of my knowledge 
237997,what do you think J Paul OxerAZURIX 11292000 1215 PM BestardENRON_DEVELOPMENTENRON_DEVELOPMENT Steve Thanks for your courtesy this morning and recommendations for further contacts By copy of this transmission Im sending my resume on to Rick Jose and Miguel as you suggested Much of the work Ive done in the last fifteen years has been involved government affairs in one way or another Either I was dealing with state and federal regulatory agencies in the US working on political campaigns in Florida and Texas or negotiating with international governments preparing for purchase of utility concessions All while developing strategy building and organizing teams to execute the work and seeing to it that the job got done Three documents are attached I suggest this order to read them 1 JPO Res Addendum gives you a view looking forward where Ill go what I can do as all resumes should 2 JPO Res Exec Summ gives you a view looking back where Ive been what Ive done as all resumes would 3 JPO Res Full CV gives detail on specific assignments and projects essentially an expanded version of 2 Hope the holidays are joyous and safe for all Best regards J Paul __________ J Paul Oxer Vice President International Development Azurix Corp Eor  TEL 713FAX 713MOB 713ADM 713 Yes there are two paths you can go by but in the long run theres still time to change the road youre on 
89229,Brian good memo Regards Delainey
